chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,position
,,193488,0,0,0,0,0,3,1.6,0.0,0,Anwar,0.0,45,False,,,60,193488.jpg,0.0,El Ghazi,0.2,False,,a,Aston Villa,7,0,237,237,432,432,0.0,0.0,El Ghazi,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,484,187,485,188,481,184,486,188,5.0,,2.0,,2.0,,Midfielder
,,199798,0,0,0,0,0,2,1.1,0.0,0,Ezri,0.0,46,False,,,45,199798.jpg,0.0,Konsa Ngoyo,0.2,False,,a,Aston Villa,7,0,166,166,305,305,0.0,0.0,Konsa,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,268,118,262,118,228,108,274,118,,,,,,,Defender
,,203368,0,0,0,0,0,2,1.1,0.0,0,Frédéric,0.0,47,False,,,45,203368.jpg,0.0,Guilbert,0.2,False,,a,Aston Villa,7,0,75,75,218,218,0.0,0.0,Guilbert,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,270,120,264,120,231,110,276,120,,,,,,,Defender
0.0,0.0,213345,0,0,0,0,0,4,0.0,0.0,0,Wesley,0.0,48,False,Knee injury - Unknown return date,2020-08-15T10:00:11.458856Z,60,213345.jpg,0.0,Moraes,0.0,False,,i,Aston Villa,7,0,31,31,68,68,0.0,0.0,Wesley,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,487,53,488,53,484,54,489,54,,,,,1.0,,Forward
,,217487,0,0,0,0,0,4,1.3,0.0,0,Mbwana,0.0,49,False,,,60,217487.jpg,0.0,Samatta,0.1,False,,a,Aston Villa,7,0,258,258,383,383,0.0,0.0,Samatta,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,488,54,489,54,485,55,490,55,,,,,,,Forward
,,221239,0,0,0,0,0,4,0.5,0.0,0,Keinan,0.0,50,False,,,45,221239.jpg,0.0,Davis,15.8,False,,a,Aston Villa,7,0,33887,33887,17911,17911,0.0,0.0,Davis,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,280,21,274,23,244,24,286,24,,,,,,,Forward
,,223349,0,0,0,0,0,4,0.5,0.0,0,Indiana,0.0,51,False,,,45,223349.jpg,0.0,Vassilev,2.2,False,,a,Aston Villa,7,0,9208,9208,4853,4853,0.0,0.0,Vassilev,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,283,22,277,24,247,25,289,25,,,,,,,Forward
,,230046,0,0,0,0,0,3,0.9,0.0,0,Douglas Luiz,0.0,52,False,,,50,230046.jpg,0.0,Soares de Paulo,0.4,False,,a,Aston Villa,7,0,565,565,778,778,0.0,0.0,Douglas Luiz,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,385,141,384,141,370,129,389,142,,,4.0,,,,Midfielder
,,199796,0,0,0,0,0,2,1.6,0.0,0,Matthew,0.0,496,False,,,50,199796.jpg,0.0,Cash,0.4,False,,a,Aston Villa,7,0,716,716,598,598,0.0,0.0,Cash,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,373,162,372,162,356,159,377,162,,,,,,,Defender
,,178301,0,0,0,0,0,4,1.3,0.0,0,Ollie,0.0,514,False,,,60,178301.jpg,0.0,Watkins,1.0,False,,a,Aston Villa,7,0,10067,10067,2135,2135,0.0,0.0,Watkins,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,482,50,483,50,479,51,484,51,,,,,,,Forward
0.0,0.0,20529,0,0,0,0,0,4,0.0,0.0,0,Glenn,0.0,53,False,Joined Watford on loan until the end of the season on 1/9. - Expected back 01 Jul,2020-09-02T09:00:10.449975Z,50,20529.jpg,0.0,Murray,0.3,False,,n,Brighton,36,0,478,478,2138,2138,0.0,0.0,Murray,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,301,23,296,25,268,26,307,26,,,,,,,Forward
,,39155,0,0,0,0,0,3,1.7,1.2,0,Adam,0.0,54,False,,,65,39155.jpg,0.0,Lallana,1.4,False,,a,Brighton,36,0,1165,1165,2104,2104,0.0,0.0,Lallana,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,491,190,492,191,488,188,492,191,,,,,,,Midfielder
,,40845,0,0,0,0,0,3,0.5,0.0,0,Dale,0.0,55,False,,,45,40845.jpg,0.0,Stephens,14.3,False,,a,Brighton,36,0,8852,8852,17006,17006,0.0,0.0,Stephens,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,202,79,194,81,146,52,209,83,,,,,,,Midfielder
,,60307,0,0,0,0,0,3,1.6,1.1,0,Pascal,0.0,57,False,,,60,60307.jpg,0.0,Groß,0.2,False,,a,Brighton,36,0,169,169,274,274,0.0,0.0,Groß,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,460,176,461,177,454,172,462,177,1.0,,2.0,,2.0,,Midfielder
0.0,0.0,61933,0,0,0,0,0,2,0.0,0.0,0,Shane,0.0,58,False,Joined Celtic on loan until the end of the season on 2/9. - Expected back 01 Jul,2020-09-02T09:00:10.465117Z,45,61933.jpg,0.0,Duffy,0.1,False,,n,Brighton,36,0,49,49,865,865,0.0,0.0,Duffy,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,217,84,209,84,165,67,223,84,,,,,,,Defender
50.0,50.0,66242,0,0,0,0,0,3,0.4,0.2,0,Davy,0.0,59,False,Lack of match fitness - 50% chance of playing,2020-09-12T09:00:10.303956Z,50,66242.jpg,0.0,Pröpper,0.1,False,,d,Brighton,36,0,9,9,490,490,0.0,0.0,Pröpper,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,320,113,317,113,293,95,325,115,,,,,,,Midfielder
0.0,0.0,74471,0,0,0,0,0,3,0.0,0.0,0,Aaron,0.0,60,False,Joined Shanghai SIPG on a permanent deal on 28/8,2020-08-29T10:00:06.731343Z,50,74471.jpg,0.0,Mooy,0.0,False,,u,Brighton,36,0,11,11,212,212,0.0,0.0,Mooy,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,323,114,320,114,296,96,328,116,,,,,,,Midfielder
,,78916,0,0,0,0,0,2,1.1,0.6,0,Dan,0.0,61,False,,,45,78916.jpg,0.0,Burn,0.9,False,,a,Brighton,36,0,456,456,1022,1022,0.0,0.0,Burn,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,222,88,214,88,172,72,228,88,,,,,,,Defender
,,83299,0,0,0,0,0,2,1.6,1.1,0,Lewis,0.0,62,False,,,50,83299.jpg,0.0,Dunk,8.9,False,,a,Brighton,36,0,3250,3250,9701,9701,0.0,0.0,Dunk,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,329,141,327,141,303,134,334,141,,,1.0,,,,Defender
0.0,0.0,86153,0,0,0,0,0,2,0.0,0.0,0,Martín,0.0,63,False,Joined Real Betis on a permanent deal on 25/8,2020-08-25T16:00:07.591453Z,45,86153.jpg,0.0,Montoya,0.0,False,,u,Brighton,36,0,8,8,126,126,0.0,0.0,Montoya,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,227,90,219,90,179,76,233,90,,,,,,,Defender
0.0,0.0,93284,0,0,0,0,0,4,0.0,0.0,0,Florin,0.0,64,False,Knee injury - Unknown return date,2020-09-12T09:00:10.364918Z,50,93284.jpg,0.0,Andone,0.3,False,,i,Brighton,36,0,104,104,2993,2993,0.0,0.0,Andone,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,332,26,330,28,307,29,337,29,,,,,,,Forward
,,109345,0,0,0,0,0,3,0.9,0.4,0,Solomon,0.0,65,False,,,50,109345.jpg,0.0,March,0.1,False,,a,Brighton,36,0,95,95,110,110,0.0,0.0,March,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,340,119,338,119,317,101,345,121,4.0,,4.0,,,,Midfielder
,,110735,0,0,0,0,0,2,1.1,0.6,0,Adam,0.0,66,False,,,45,110735.jpg,0.0,Webster,3.1,False,,a,Brighton,36,0,549,549,3348,3348,0.0,0.0,Webster,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,241,100,234,100,196,87,247,100,,,,,,,Defender
